system,confidence,precision_iou10,recall_iou10,f1_iou10,pred
Raw + NAFNet-road,0.42500000000000004,0.5333333333333333,0.14953271028037382,0.2335766423357664,30
Raw + NAFNet-road,0.45000000000000007,0.5185185185185185,0.1308411214953271,0.208955223880597,27
Raw + NAFNet-road,0.475,0.5384615384615384,0.1308411214953271,0.21052631578947364,26
Raw + NAFNet-road,0.5,0.56,0.1308411214953271,0.2121212121212121,25
Raw + NAFNet-road,0.525,0.5833333333333334,0.1308411214953271,0.21374045801526714,24
Raw + NAFNet-road,0.55,0.6190476190476191,0.12149532710280374,0.203125,21
Raw + NAFNet-road,0.5750000000000001,0.6,0.11214953271028037,0.1889763779527559,20
Raw + NAFNet-road,0.6,0.6666666666666666,0.11214953271028037,0.192,18
Raw + NAFNet-road,0.625,0.7058823529411765,0.11214953271028037,0.1935483870967742,17
Raw + NAFNet-road,0.65,0.7058823529411765,0.11214953271028037,0.1935483870967742,17
Raw + NAFNet-road,0.675,0.7058823529411765,0.11214953271028037,0.1935483870967742,17
Raw + NAFNet-road,0.7000000000000001,0.8,0.11214953271028037,0.19672131147540983,15
Raw + NAFNet-road,0.725,0.8,0.11214953271028037,0.19672131147540983,15
Raw + NAFNet-road,0.75,0.7857142857142857,0.102803738317757,0.18181818181818182,14
Raw + NAFNet-road,0.775,0.8,0.07476635514018691,0.13675213675213674,10
Raw + NAFNet-road,0.8,1.0,0.06542056074766354,0.12280701754385964,7
Raw + NAFNet-road,0.8250000000000001,1.0,0.037383177570093455,0.07207207207207207,4
Raw + NAFNet-road,0.85,1.0,0.018691588785046728,0.03669724770642201,2
Raw + NAFNet-road,0.875,1.0,0.018691588785046728,0.03669724770642201,2
Raw + NAFNet-road,0.9,0.0,0.0,0.0,0
Raw + DeMoE-auto,0.1,0.4307692307692308,0.2616822429906542,0.3255813953488372,65
Raw + DeMoE-auto,0.125,0.42857142857142855,0.2523364485981308,0.3176470588235294,63
Raw + DeMoE-auto,0.15000000000000002,0.4426229508196721,0.2523364485981308,0.3214285714285714,61
Raw + DeMoE-auto,0.17500000000000002,0.44642857142857145,0.2336448598130841,0.3067484662576687,56
Raw + DeMoE-auto,0.2,0.47058823529411764,0.22429906542056074,0.30379746835443033,51
Raw + DeMoE-auto,0.225,0.4583333333333333,0.205607476635514,0.2838709677419355,48
Raw + DeMoE-auto,0.25,0.44680851063829785,0.19626168224299065,0.2727272727272727,47
Raw + DeMoE-auto,0.275,0.4772727272727273,0.19626168224299065,0.2781456953642384,44
Raw + DeMoE-auto,0.30000000000000004,0.5,0.18691588785046728,0.27210884353741494,40
Raw + DeMoE-auto,0.325,0.48717948717948717,0.17757009345794392,0.2602739726027397,39
Raw + DeMoE-auto,0.35,0.5277777777777778,0.17757009345794392,0.26573426573426573,36
Raw + DeMoE-auto,0.375,0.5625,0.16822429906542055,0.2589928057553957,32
